ポストURL,いいね数,RT数,インプ数,投稿者名,投稿テキスト,投稿日時,画像,収集日時
https://x.com/momo_fukuen/status/2029517290681901083,120,7,15881,もも｜回避型彼氏と復縁,実は、回避型の男性って本気で惚れた女性に『強い劣等感』を感じやすい。自分に愛情を注いでくれる彼女が女神に見えて「こんな俺じゃ釣り合わない」って思っちゃう。私の彼もだけど回避型って自己肯定感低いから、愛されるほど苦しくなっちゃうみたい別れを告げるのは気持ちが冷めたからじゃなくて、,3月5日,,3月21日
https://x.com/momo_fukuen/status/2029517294523879489,20,0,2568,もも｜回避型彼氏と復縁,『本気で好きになったことで自信を失ったから』なんだよね。私も「幸せにできない」「俺よりいい人見つけてね」って言われて振られた。でも幸せになるなら絶対彼がいいと思ったから諦めずに行動したの。男としての自信を失った彼は放置しても戻らない。だから『回避型の心理』に合わせて接したら、,3月5日,,3月21日
https://x.com/momo_fukuen/status/2029482534061617422,49,1,7878,もも｜回避型彼氏と復縁,,3月5日,,3月21日
https://x.com/momo_fukuen/status/2029381973639348601,26,0,5972,もも｜回避型彼氏と復縁,心のどこかで感じてる証拠。その時点で復縁の可能性がかなり高いから、あとは『LINEで警戒心をとけるかどうか』だよ。進展しない時ってほぼ確実に『安定型の男性になら好印象になるLINE』を回避型に間違えて送っちゃってるせい。回避型にはプレッシャーになって警戒させちゃうだけなんだよねだから、,3月5日,,3月21日
https://x.com/momo_fukuen/status/2029381971240206784,459,25,48573,もも｜回避型彼氏と復縁,最後に回避型の本命になるのは『一途で執着が強い女性』だよ。回避型は自分のことを本気で想ってくれた人への特別な感情を手放せない。「あんなに一生懸命向き合ってくれる人は他にいない」って心のどこかでわかってるんだよね。突き放すくせにブロックしないのは、彼自身も『復縁の可能性』を、,3月5日,,3月21日
https://x.com/momo_fukuen/status/2029118562426884400,54,2,9749,もも｜回避型彼氏と復縁,回避型の男あるある『元カノへの執着心がガチで強い』。自分から距離を置いたからこそ、元カノをかなり美化して「あの子は特別だった」ってずーっと女神扱いしてるからねだから他の女性と出会っても「やっぱり違う」ってなるし、『関わり方』次第で案外あっさり戻ってくる率高め。,3月4日,,3月21日
https://x.com/momo_fukuen/status/2029192356399071690,103,1,7691,もも｜回避型彼氏と復縁,回避型が本当に好きになるのは愛情深い女性だけ。さっぱりした子は回避型を待てないし深く愛せない。私もメンヘラ爆発させたけど、それくらい本気で愛したから彼は戻ってきた。愛が大きすぎるって悩む必要ないよ。回避型からするとそれが一番魅力的だし、復縁したい気持ちを引き出してくれるからね。,3月4日,,3月21日
https://x.com/momo_fukuen/status/2029157681878188383,242,7,32416,もも｜回避型彼氏と復縁,1ヶ月で復縁して気づいたけど『男は本当に好きなら手放さない』はウソだよ。男の愛情ってかなり深くて手放すのも愛なの。特に回避型はこの傾向強め。『大切な彼女をこれ以上悲しませたくなくて手放す』を選ぶタイプ。好きな人の不安そうな顔に耐えられなくて身を引いてしまうんだよね。そういう男は、,3月4日,,3月21日
https://x.com/momo_fukuen/status/2029023869668081896,146,5,26861,もも｜回避型彼氏と復縁,男は『一途に尽くしてくれた彼女』を振ったら100%後悔するよ。特に回避型は深い愛が怖いから逃げるけど、逃げた先で待っているのは「猛烈な孤独」。一途に愛された記憶は彼の中でどんどん美化される。だから振ったのに元カノに未練たらたらだし、『戻るきっかけ』さえあればすぐ帰ってくる。つまり、,3月4日,,3月21日
https://x.com/momo_fukuen/status/2028791777243840928,23,2,3734,もも｜回避型彼氏と復縁,復縁したあと彼に「私から連絡しなかったら復縁してたと思う？」って聞いたら、「(私)ちゃんのこと何度も思い出すけど、自分からは絶対連絡しないからそのまま終わってたと思う。俺から振ったのに連絡できるわけないよ」って言われたんだよね。『元彼から連絡がない＝脈なし』じゃない。だからこそ、,3月3日,,3月21日
